id,type,title,slug,content,description,date,tags,createdBy,updatedBy,createdAt,updatedAt
71jlbIpR58,faq,Are credit card payments required to be reported?,are-credit-card-payments-required-to-be-reported,"Yes, if they meet the criteria of a trade credit arrangement, exceed $100 (incl. GST), and are not excluded under a genuinely enforced policy or other exceptions.",NULL,18/05/2025 00:00,NULL,import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
86mIaODke8,faq,Can more time be requested to submit a report?,can-more-time-be-requested-to-submit-a-report,"Yes, via the Portal. Extensions of up to 28 days require a reason, while longer extensions need supporting documentation.",NULL,18/05/2025 00:00,NULL,import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
a-b8djm-bR,blog,Who Needs to Report Under the Payment Times Reporting Scheme?,who-needs-to-report-ptr,"# Who Needs to Report Under the Payment Times Reporting Scheme?

_Published: 18 May 2025 • Author: Monochrome Compliance Team_

## Summary

If your business operates in Australia and earns over $100 million in annual income, you may be required to report under the Payment Times Reporting Scheme (PTRS). This article explains who is considered a reporting entity and what criteria determine eligibility.

## What Is a Reporting Entity?

A reporting entity under PTRS is broadly defined as:

- An individual business with total annual income over $100 million, or
- A controlling corporation (parent company) whose combined subsidiaries exceed the $100 million threshold

Eligibility is based on the most recent income year prior to the reporting period.

## Thresholds and Triggers

### 1. Income Threshold

Businesses with over $100 million in total income (not just turnover) are required to report. This includes:

- Australian entities
- Foreign entities with Australian operations
- Corporate groups under a controlling corporation

### 2. Corporate Groups

If your entity is part of a group controlled by a parent entity that exceeds $100 million in consolidated income, the entire group may be captured under the scheme. Only the controlling corporation submits the PTR report for all group members.

### 3. Other Trigger Events

Entities may also become subject to PTR reporting if they acquire another entity or experience substantial structural changes affecting income.

## Examples

- A standalone company with $120M annual income → Must report
- A holding company with $40M income but subsidiaries that earn $150M → Must report as a controlling corporation
- A foreign company with a branch operating in Australia earning $110M → Must report

## Legal Disclaimer

This article provides general information only and is not legal or financial advice. Please consult with the Payment Times Reporting Regulator or a legal advisor to ensure compliance with your organisation's obligations.

## Need Help?

[Get started with Monochrome Compliance](https://monochrome-compliance.com)",Find out which businesses and corporate structures are required to report under the Australian Payment Times Reporting Scheme.,18/05/2025 00:00,"PTR,eligibility,reporting obligations,compliance",import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
akjeIkQGGt,faq,Frequently Asked Questions,faq,"
## Who is required to report under the new PTRS scheme?

Only entities that meet the new definition of a reporting entity under the Payment Times Reporting Act 2020 are required to report. This includes the highest-level entity in a corporate group that meets consolidated revenue and control criteria.

## What payments need to be included in a report?

Entities must report payments made under trade credit arrangements to Australian small businesses, excluding payments to government or employees, and subject to specific rules around credit cards and ABNs.

## How is the SBI Tool used?

The SBI Tool must be used after each reporting period to identify small business suppliers based on the calendar year in which the reporting period ended. It is only available via the PTRS Portal.

## What if a report is submitted using the old CSV template?

Reports submitted using the CSV template for periods commencing after 1 July 2024 will be rejected. The new scheme requires reports to be submitted through the Portal's webform interface.

## When is a report due?

Reports must be submitted within 3 months of the end of the reporting period. Most entities will report biannually based on their financial year.

## What if an entity is acquired or loses control of another entity?

You must report on payments by all entities you control at the end of the reporting period. If data is not accessible, section 15 of the Rules allows exclusions with disclosures.

## Are credit card payments required to be reported?

Yes, if they meet the criteria of a trade credit arrangement, exceed $100 (incl. GST), and are not excluded under a genuinely enforced policy or other exceptions.

## Can more time be requested to submit a report?

Yes, via the Portal. Extensions of up to 28 days require a reason, while longer extensions need supporting documentation.

## Do supporting datasets need to be submitted?

No, but you must retain them for seven years. The TCP and SBTCP datasets are essential for calculating required metrics.

## What support is available if someone gets stuck?

You're not alone — our platform is designed to guide you through each step with clarity and confidence. Clear instructions, integrated tips, and contextual help are built into the platform, so you can move forward without needing to leave the platform.
",NULL,18/05/2025 00:00,NULL,import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
B2jJS1fhE2,blog,How to Submit a PTR Report,how-to-submit-ptr-report,"# How to Submit a PTR Report

_Published: 18 May 2025 • Author: Monochrome Compliance Team_

## Summary

Submitting a Payment Times Reporting (PTR) report is a regulatory requirement for large businesses in Australia. This guide outlines each step of the process — from data preparation and small business identification to CSV formatting and final submission — using Monochrome Compliance to simplify and streamline the workflow.

## Who Needs This?

This article is designed for individuals responsible for meeting PTR obligations, such as finance leads, governance managers, and compliance teams. If your organisation has over $100 million in annual income or is part of a group that exceeds this threshold, you are legally required to report twice yearly.

## Step-by-Step Submission Guide

### Step 1: Prepare Your Data

Start by gathering supplier invoice and payment data for the current reporting period:

- Supplier ABNs
- Invoice issue and payment dates
- Payment amounts
- Contract payment terms (where available)

Ensure all transactions fall within the correct reporting window: either 1 January–30 June or 1 July–31 December. Data accuracy at this stage is critical.

### Step 2: Identify Small Business Suppliers

Export a list of all supplier ABNs and upload them to the Regulator’s Small Business Identification (SBI) Tool. The tool will return a list of ABNs that are _not_ considered small businesses. This step must be completed for each reporting cycle — you cannot rely on past results.

Once the SBI Tool output is received, upload it into Monochrome Compliance. The system will automatically flag small business transactions based on the validated ABNs.

### Step 3: Format the PTR Report

Import your cleaned and flagged dataset into Monochrome Compliance. The platform checks for:

- Missing or incorrectly formatted fields
- Inconsistencies between reported dates and payment terms
- Small business flag accuracy
- Payment practices that fall outside acceptable ranges

Any detected issues are flagged for review and correction before the final CSV output is generated.

### Step 4: Lodge the Report

Log in to the Regulator’s PTR Portal and upload the validated CSV file. You will also be prompted to complete a summary declaration and provide additional reporting information.

We strongly recommend exporting a PDF copy of your submission from the portal or taking a screenshot for internal audit purposes.

## Frequently Asked Questions

**Can I use my own template?**  
No — the Regulator mandates a specific CSV format. Monochrome Compliance automatically generates this format for you.

**What if I discover errors after submission?**  
Contact the Regulator as soon as possible. If it’s within the reporting window, you may be allowed to submit a corrected report.

**Do I need to identify small businesses manually?**  
No. You must use the SBI Tool and upload the results to your system. Manual classification is not compliant.

## Legal Disclaimer

This article provides general information only and is not legal or financial advice. Please consult with the Payment Times Reporting Regulator or a legal advisor to ensure compliance with your organisation's obligations.

## Need Help?

[Start your submission with Monochrome Compliance](https://monochrome-compliance.com)","A step-by-step guide to preparing, validating and lodging your Payment Times Reporting (PTR) submission using Monochrome Compliance.",18/05/2025 00:00,"PTR,compliance,submission,how-to,reporting",import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
c_TlH5lQi9,faq,Do supporting datasets need to be submitted?,do-supporting-datasets-need-to-be-submitted,"No, but you must retain them for seven years. The TCP and SBTCP datasets are essential for calculating required metrics.",NULL,18/05/2025 00:00,NULL,import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
d4WHSiR-YG,blog,Avoid These Common PTR Submission Mistakes,ptr-submission-mistakes,"# Avoid These Common PTR Submission Mistakes

_Published: 18 May 2025 • Author: Monochrome Compliance Team_

## Summary

Payment Times Reporting (PTR) is more than just a regulatory checkbox — it reflects your organisation’s financial transparency and commitment to fair supplier practices. Unfortunately, many entities fall into avoidable traps during submission. In this guide, we outline the most common mistakes and how to sidestep them using sound governance and practical tools like Monochrome Compliance.

## 1. Incorrect Supplier Classification

**The mistake:** Misidentifying which suppliers qualify as small businesses, either through guesswork or outdated assumptions.

**The fix:** Always validate ABNs using the official Small Business Identification (SBI) Tool provided by the Regulator. Upload your list of ABNs and import the result into Monochrome Compliance to ensure accurate flagging. This step must be completed for each reporting cycle — past results can’t be reused.

## 2. Incomplete or Inconsistent Data

**The mistake:** Submissions that include missing invoice numbers, mismatched payment and issue dates, or incomplete payment terms.

**The fix:** Use a validation tool like Monochrome Compliance to surface issues before submission. Automate data checks and reconcile records with your finance system. Fix inconsistencies early to avoid delays during approval and reporting.

## 3. Outdated CSV Templates

**The mistake:** Using last year’s or last cycle’s CSV export template, which may be missing newly required fields or contain deprecated columns.

**The fix:** Download the latest CSV template directly from the Regulator or export through Monochrome Compliance, which always reflects the most up-to-date format. Validate your data structure before submission.

## 4. Late Submissions

**The mistake:** Leaving data collection and validation too close to the deadline, resulting in rushed reviews or missed due dates.

**The fix:** Work backwards from the deadline. Set internal submission targets at least two weeks prior, with assigned owners and checklists. Use shared calendars or integrated workflow software to monitor task completion.

## 5. No Internal Review Process

**The mistake:** Submitting reports without a second review, increasing the likelihood of human error or oversight.

**The fix:** Establish a two-person signoff process. Use Monochrome Compliance’s PDF export to generate review-ready versions. Store signed copies securely for auditing and assurance purposes.

## Bonus: Not Archiving SBI Tool Results

**The mistake:** Treating the SBI output file as temporary and failing to store it alongside your submission records.

**The fix:** Save both your original ABN input list and the SBI Tool response in a secure, access-controlled location. This serves as audit evidence and ensures continuity across reporting cycles.

## Legal Disclaimer

This article provides general information only and is not legal or financial advice. Please consult with the Payment Times Reporting Regulator or a legal advisor to ensure compliance with your organisation's obligations.

## Need Help?

[Submit with confidence using Monochrome Compliance](https://monochrome-compliance.com)",Learn from the most common errors seen in Payment Times Reporting submissions and how to avoid them using good governance and reliable tools.,18/05/2025 00:00,"PTR,submission errors,compliance,common mistakes",import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
HuJVJdLrn_,faq,What if a report is submitted using the old CSV template?,what-if-a-report-is-submitted-using-the-old-csv-template,Reports submitted using the CSV template for periods commencing after 1 July 2024 will be rejected. The new scheme requires reports to be submitted through the Portal's webform interface.,NULL,18/05/2025 00:00,NULL,import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
IQPIZg4IE8,faq,What support is available if someone gets stuck?,what-support-is-available-if-someone-gets-stuck,"You're not alone — our platform is designed to guide you through each step with clarity and confidence. Clear instructions, integrated tips, and contextual help are built into the platform, so you can move forward without needing to leave the platform.",NULL,18/05/2025 00:00,NULL,import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
kBYJP8c_E9,faq,What payments need to be included in a report?,what-payments-need-to-be-included-in-a-report,"Entities must report payments made under trade credit arrangements to Australian small businesses, excluding payments to government or employees, and subject to specific rules around credit cards and ABNs.",NULL,18/05/2025 00:00,NULL,import-script,NULL,22/05/2025 06:41,22/05/2025 06:41
